productName,genericName,packSize,gmsNo,costPrice,vatRate,manufacturer,legalCategory,barcode,ipuCode
365 TRANS ADH FILM DRESS NO PAD 15X20CM,,50,,18.00,23,365 HC,,,5099627472333
365 TRANS ADH FILM DRESS NO PAD 4X5CM,,100,,8.00,23,365 HC,,,5099627747141
365 TRANS ADH FILM DRESS NO PAD 6X7CM,,100,,13.00,23,365 HC,,,5099627914055
365 TRANSP ISLAND DRESS + PAD 10 X 25CM,,50,,23.50,23,365 HC,,,5099627944960
365 TRANSP ISLAND DRESS + PAD 12 X 10CM,,50,,13.00,23,365 HC,,,5099627282581
365 TRANSP ISLAND DRESS + PAD 20 X 10CM,,50,,20.00,23,365 HC,,,5099627742917
365 TRANSP ISLAND DRESS + PAD 30 X 10CM,,50,,26.50,23,365 HC,,,5099627959186
365 TRANSP ISLAND DRESS + PAD 35 X 10CM,,50,,41.00,23,365 HC,,,5099627898065
365 TRANSP ISLAND DRESS + PAD 5 X 7.2CM,,50,,5.00,23,365 HC,,,5099627248426
365 TRANSP ISLAND DRESS + PAD 8.5X15.5CM,,50,,14.00,23,365 HC,,,5099627873079
365 TRANSP ISLAND DRESS + PAD 8.5X9.5CM,,50,,11.00,23,365 HC,,,5099627699785
365 TRANSPARENT ADH IV DRESSINGS 10X12CM,,50,,42.00,23,365 HC,,,5099627462570
365 TRANSPARENT ADH IV DRESSINGS 7X9CM,,50,,24.00,23,365 HC,,,5099627652285
365 TRANSPARENT ADHESIVE IV DRESSINGS,,100,,22.00,23,365 HC,,,5099627468305
365 WOUND CLOSURE STRIPS 13MM X 102MM,,50,,16.00,23,365 HC,,,5099627986601
365 WOUND CLOSURE STRIPS 25MM X 102MM,,50,,17.00,23,365 HC,,,5099627749459
365 WOUND CLOSURE STRIPS 3MM X 75MM,,50,,8.00,23,365 HC,,,5099627916288
365 WOUND CLOSURE STRIPS 6MM X 102MM 10S,,50,,14.00,23,365 HC,,,5099627602792
365 WOUND CLOSURE STRIPS 6MM X 38MM 6S,,50,,9.00,23,365 HC,,,5099627728980
365 WOUND CLOSURE STRIPS 6MM X 75MM 3S,,50,,8.00,23,365 HC,,,5099627248525
3M FORAM 10CM X 10CM GMS,,1,86290,2.92,23,3m Ireland,,,5099627147798
3M STERI STR COMP BENZOIN TIN 0.6ML ULM,COMPOUND BENZOIN TINCTURE,40,,0.00,23,Unlicensed Medicines,S1A,,2200002895392
3M TEGADERM 1633 IV DRESSING 8.5CM X 7CM,,100,,56.50,23,3m Ireland,,,5099627187817
4SURE B-KETONE TEST STRIPS,,10,97605,11.22,23,Clonmel,,5420040811940,5099627747196
4SURE B-KETONE TEST STRIPS,,10,97605,11.22,23,Clonmel,,5420040849844,5099627747196
4SURE BLOOD GLUCOSE TEST STRIPS,,50,94170,11.22,23,Clonmel,,5420040811902,5099627555432
4SURE LANCETS STERILE,,100,97606,3.00,23,Clonmel,,5420040818017,5099627499538
4SURE SMART DUO MONITOR FOC,,1,,0.00,23,Clonmel,,5420040811841,5099627994774
4SURE SMART MONITOR FOC,,1,,0.00,23,Clonmel,,5420040811865,5099627423182
5% LPC IN 100G BETNOVATE RD OINTMENT,,100,,4.78,23,,,,
5-HTP 100MG CAPS ULM POA,5-HYDROXYTRYPTOPHAN,60,,0.00,13.50,Unlicensed Medicines,S1A,,2200002765145
5-HTP 100MG CAPS ULM POA,5-HYDROXYTRYPTOPHAN,120,,0.00,13.50,Unlicensed Medicines,S1A,,2200002812467
5-MTHF 1MG CAPS ULM POA,FOLATE,60,,37.23,13.50,Unlicensed Medicines,S1A,,2200002881999
5-MTHF 5MG CAPS ULM POA,FOLATE,60,,0.00,13.50,Unlicensed Medicines,S1A,,2200002776134
6%salic ac/44% pro.gly/50% dermv crm,,1,25830,0.00,23,,,,
756618 D7531 U-BAG 24HR STERILE 200ML,,100,,106.00,0,Tpw Surg,,5390166018526,5099627798730
A S SALIVA ORTHANA DRY MOUTH LOZ ULM POA,MUCIN,30,,0.00,0,Unlicensed Medicines,S1A,,2200002778015
A S SALIVA ORTHANA MOUTH SPRAY ULM POA,MUCIN,50,,0.00,0,Unlicensed Medicines,S1A,,2200002791847
A S SALIVA ORTHANA SPRAY ULM POA,SALIVA SUBSTITUTE,50,,0.00,0,Medisource,,7025854071153,
A VOGEL AGNUS CASTUS ORAL DROPS,AGNUS CASTUS,50,,7.80,0,Bioforce,,7610313304547,7610313313549
A VOGEL AGNUS CASTUS ORAL DROPS,AGNUS CASTUS,50,,7.80,0,Bioforce,,7610313313549,7610313313549
A VOGEL ATROGEL ARNICA GEL,ARNICA,50,,6.36,23,Bioforce,,7610313202508,5099627374651
A VOGEL ATROGEL ARNICA GEL,ARNICA,50,,6.36,23,Bioforce,,7610313202553,5099627374651
A VOGEL ATROGEL ARNICA GEL,ARNICA,100,,9.53,23,Bioforce,,7610313201013,5099627129909
A VOGEL ATROGEL ARNICA GEL,ARNICA,100,,9.53,23,Bioforce,,7610313202003,5099627129909
A VOGEL ATROGEL ARNICA GEL,ARNICA,100,,9.53,23,Bioforce,,7610313202225,5099627129909
A VOGEL ATROSAN DEVILS CLAW TABS,DEVILS CLAW,30,,9.75,0,Bioforce,,7610313305261,5099627374682
A VOGEL ATROSAN DEVILS CLAW TABS,DEVILS CLAW,30,,9.75,0,Bioforce,,7610313315260,5099627374682
A VOGEL ATROSAN DEVILS CLAW TABS,DEVILS CLAW,60,,16.57,0,Bioforce,,7610313303267,5099627378024
A VOGEL ATROSAN DEVILS CLAW TABS,DEVILS CLAW,60,,16.57,0,Bioforce,,7610313315277,5099627378024
A VOGEL AVENACALM SATIVA ORAL DROPS,AVENA SATIVA,50,,7.80,0,Bioforce,,7610313314089,5099627148337
A VOGEL BRONCHOFORCE CHESTY ORAL DROPS,IVY HERB/THYME/LIQUORICE ROOT,50,,7.80,0,Bioforce,,7610313404162,7610313404162
A VOGEL BRONCHOSAN DRY TICKLY SYRUP,SOFT EXTRACT FROM NORWAY SPRUCE SHOOTS,100,,6.79,0,Bioforce,,7610313808212,5099627731225
A VOGEL DIGESTISAN ORAL DROPS,,15,,3.35,0,Bioforce,,7610313405046,5099627456586
A VOGEL DIGESTISAN ORAL DROPS,ARTICHOKE/DANDELION/BOLDO/PEPPERMINT,50,,7.80,0,Bioforce,,7610313405060,5099627410083
A VOGEL DORMEASAN SLEEP VALERIAN-HOPS,VALERIAN/HOP STROBILE,15,,3.35,0,Bioforce,,7610313405084,5099627451024
A VOGEL DORMEASAN SLEEP VALERIAN-HOPS,VALERIAN/HOP STROBILE,50,,7.80,0,Bioforce,,7610313405107,5099627374729
A VOGEL ECHINAFORCE COLD & FLU ORAL DROP,ECHINACEA PURPUREA,15,,3.58,0,Bioforce,,7610313314188,5099627977807
A VOGEL ECHINAFORCE COLD & FLU ORAL DROP,ECHINACEA PURPUREA,50,,7.80,0,Bioforce,,7610313131358,7610313131358
A VOGEL ECHINAFORCE COLD & FLU ORAL DROP,ECHINACEA PURPUREA,100,,13.65,0,Bioforce,,7610313301171,5099627951210
A VOGEL ECHINAFORCE COLD & FLU TABS,ECHINACEA PURPURA,42,,3.89,0,Bioforce,,7610313132140,7610313132140
A VOGEL ECHINAFORCE COLD & FLU TABS,ECHINACEA PURPURA,120,,7.80,0,Bioforce,,7610313313556,5099627451109
A VOGEL ECHINAFORCE COLD&FLU CHEW TABS,ECHINACEA PURPURA,40,,5.52,0,Bioforce,,7610313304554,5099627307468
A VOGEL ECHINAFORCE COLD&FLU CHEW TABS,ECHINACEA PURPURA,40,,5.52,0,Bioforce,,7610313314553,5099627307468
A VOGEL ECHINAFORCE COLD&FLU CHEW TABS,ECHINACEA PURPURA,80,,8.04,0,Bioforce,,7610313304530,5099627307475
A VOGEL ECHINAFORCE COLD&FLU CHEW TABS,ECHINACEA PURPURA,80,,8.04,0,Bioforce,,7610313314539,5099627307475
A VOGEL ECHINAFORCE FORTE COLD & FLU TAB,ECHINACEA PURPUREA,40,,8.62,0,Bioforce,,7610313304585,5099627285612
A VOGEL ECHINAFORCE FORTE COLD & FLU TAB,ECHINACEA PURPUREA,40,,8.62,0,Bioforce,,7610313314584,5099627285612
A VOGEL ECHINAFORCE HOT DRINK CONC SOLN,ECHINACEA PURPUREA,100,,9.59,0,Bioforce,,7610313313150,5099627148900
A VOGEL ECHINAFORCE SORE THROAT SPRAY,ECHINACEA PURPURA,30,,8.81,0,Bioforce,,7610313404032,5099627951180
A VOGEL ECHINAFORCE SORE THROAT SPRAY,ECHINACEA PURPURA,30,,8.81,0,Bioforce,,7610313405039,5099627951180
A VOGEL MENOFORCE SAGE TABS,SAGE,30,,11.41,0,Bioforce,,7610313304455,5099627354943
A VOGEL MENOFORCE SAGE TABS,SAGE,30,,11.41,0,Bioforce,,7610313314454,5099627354943
A VOGEL MENOFORCE SAGE TABS,SAGE,90,,29.23,0,Bioforce,,7610313304462,5099627451819
A VOGEL PROSTASAN SOFT CAPS,SAW PALMETTO,30,,13.00,0,Bioforce,P,7610313405305,5099627951364
A VOGEL PROSTASAN SOFT CAPS,SAW PALMETTO,30,,13.00,0,Bioforce,P,7610313415304,5099627951364
A VOGEL PROSTASAN SOFT CAPS,SAW PALMETTO,90,,30.00,0,Bioforce,P,7610313405404,5099627374804
A VOGEL VALERIAN COMPLEX STRESS DROPS,VALERIAN/HOP STROBILE,15,,3.07,0,Bioforce,,7610313415113,5099627148894
A VOGEL VALERIAN COMPLEX STRESS DROPS,VALERIAN/HOP STROBILE,50,,7.80,0,Bioforce,,7610313415120,5099627148658
A VOGEL VENAFORCE  HORSE CHESTNUT  TABS,HORSE CHESTNUT SEED,30,,9.30,0,Bioforce,,7610313304059,5099627951371
A VOGEL VENAFORCE  HORSE CHESTNUT  TABS,HORSE CHESTNUT SEED,30,,9.30,0,Bioforce,,7610313314058,5099627951371
A VOGEL VENAFORCE HORSE CHESTNUT TABS,HORSE CHESTNUT SEED,60,,17.87,0,Bioforce,,7610313304103,5099627494205
A VOGEL VENAFORCE HORSE CHESTNUT TABS,HORSE CHESTNUT SEED,60,,17.87,0,Bioforce,,7610313314102,5099627494205
A&D DIGITAL B/PRESSURE MNTR AUTOMAT ARM,,1,,71.00,23,A & D,,5060006580017,5099627880350
A&D DIGITAL B/PRESSURE MNTR FUZZY LOGIC7,,1,,87.00,23,A & D,,5060006580031,5099627880374
A&D DIGITAL B/PRESSURE MNTR SEMI AUTOMAT,,1,,52.00,23,A & D,,5060006580000,5099627880343
A&D DIGITAL B/PRESSURE MNTR TALKING AUTO,,1,,155.00,23,A & D,,5060006580024,5099627880367
A&D DIGITAL B/PRESSURE MNTR WRIST 7 MMRY,,1,,53.00,23,A & D,,5060006580048,5099627880381
AA-THEO LA 100MG SR TABS ULM POA,THEOPHYLLINE,100,,0.00,0,Unlicensed Medicines,S1A,,2200002954051
AARANE N INH 200 DOSE 10ML ULM POA,SOD CROMOGLIC/REPROTEROL,3,,0.00,0,Unlicensed Medicines,S1A,,2200002782074
ABACAVIR/LAMIVUDINE MYLAN 600/300MG TABS,ABACAVIR/LAMIVUDINE,30,,193.47,0,Viatris,S1A,5099151005229,5099627704533
ABBOTT THIN LANCET TYPE C GMS,,200,85055,8.23,23,Abbott Dc,,5021791999910,5099627439411
ABBOTT THIN LANCET TYPE C GMS,,200,85055,8.23,23,Abbott Dc,,5021791999989,5099627439411
ABENA LATEX GLOVE LARGE POWDER FREE 100S,,10,,37.00,23,Abena,,,5099627652490
ABENA LATEX GLOVE MED POWDER FREE 100S,,10,,37.00,23,Abena,,,5099627741187
ABENA LATEX GLOVE PREPOWDERED LGE 100S,,10,,27.00,23,Abena,,,5099627102537
ABENA LATEX GLOVE PREPOWDERED MED 100S,,10,,27.00,23,Abena,,,5099627146005
ABENA LATEX GLOVE PREPOWDERED SML 100S,,10,,27.00,23,Abena,,,5099627985574
ABENA LATEX GLOVE SMALL POWDER FREE 100S,,10,,37.00,23,Abena,,,5099627939706
ABIDEC MULTIVITAMIN ORAL DROPS SOLN,ASCORBIC ACID,25,,5.53,0,Perrigo,P,5010123634612,5099627343770
ABIDEC MULTIVITAMIN ORAL DROPS SOLN,ASCORBIC ACID,25,,5.53,0,Perrigo,P,5010123709372,5099627343770
ABIDEC MULTIVITAMIN ORAL DROPS SOLN,ASCORBIC ACID,25,,5.53,0,Perrigo,P,5012616173004,5099627343770
ABIDEC MULTIVITAMIN ORAL DROPS SOLN,ASCORBIC ACID,25,,5.53,0,Perrigo,P,5012616173035,5099627343770
ABIDEC OMEGA 3 SYRUP 3 PLUS GREEN PK,ASCORBIC ACID,150,,6.17,0,Chefaro,,5012616173165,
ABILAR 10% CREAM POA,,20,,0.00,23,Medisource,,,5099627191340
ABILIFY 10MG ORODISPERSIBLE TABS,ARIPIPRAZOLE,28,10207,106.18,0,Otsuka,S1A,5012712003601,5099627891189
ABILIFY 10MG TABS,ARIPIPRAZOLE,28,11990,75.54,0,Otsuka,S1A,5012712003335,5099627471459
ABILIFY 10MG TABS,ARIPIPRAZOLE,28,11990,75.54,0,Otsuka,S1A,5038256000104,5099627471459
ABILIFY 10MG TABS ATHLONE,ARIPIPRAZOLE,28,,148.05,0,Athlone,S1A,5032975800809,5099627268813
ABILIFY 10MG TABS B&S,ARIPIPRAZOLE,28,10324,120.81,0,,,,
ABILIFY 10MG TABS CLEAR PH,ARIPIPRAZOLE,28,17219,119.72,0,,,,
ABILIFY 10MG TABS IMED,ARIPIPRAZOLE,28,12550,73.27,0,Imed,S1A,5391522281783,5099627121217
ABILIFY 10MG TABS ORIGINALIS,ARIPIPRAZOLE,28,37045,22.88,0,Originalis,S1A,,5099627643566
ABILIFY 10MG TABS PCO,ARIPIPRAZOLE,28,12509,73.28,0,Pco,S1A,,5099627191067
ABILIFY 15MG ORODISPERSIBLE TABS,ARIPIPRAZOLE,28,10290,108.59,0,Otsuka,S1A,5012712003618,5099627891196
ABILIFY 15MG TABS,ARIPIPRAZOLE,28,12430,75.54,0,Otsuka,S1A,5012712003373,5099627471541
ABILIFY 15MG TABS ATHLONE,ARIPIPRAZOLE,28,,148.05,0,Athlone,S1A,5032975800816,5099627268837
ABILIFY 15MG TABS B&S,ARIPIPRAZOLE,28,10397,120.81,0,,,,
ABILIFY 15MG TABS CLEAR PH,ARIPIPRAZOLE,28,17220,119.72,0,,,,
ABILIFY 15MG TABS IMED,ARIPIPRAZOLE,28,12551,73.27,0,Imed,S1A,5391522283886,5099627121224
ABILIFY 15MG TABS ORIGINALIS,ARIPIPRAZOLE,28,37046,24.40,0,Originalis,S1A,8719923005338,5099627089647
ABILIFY 15MG TABS PCO,ARIPIPRAZOLE,28,12517,73.28,0,Pco,S1A,,5099627191159
ABILIFY 1MG/ML ORAL SOLN,ARIPIPRAZOLE,150,12495,80.82,0,Otsuka,S1A,5012712003663,5099627690843
ABILIFY 1MG/ML ORAL SOLN,ARIPIPRAZOLE,150,12495,80.82,0,Otsuka,S1A,5038256000173,5099627690843
ABILIFY 1MG/ML ORAL SOLN B&S,ARIPIPRAZOLE,150,13232,114.74,0,,,,
ABILIFY 1MG/ML ORAL SOLN IMED,ARIPIPRAZOLE,150,,80.82,0,Imed,S1A,5391522285163,5099627160735
ABILIFY 30MG TABS,ARIPIPRAZOLE,28,12487,151.08,0,Otsuka,S1A,5012712003410,5099627471596
ABILIFY 30MG TABS,ARIPIPRAZOLE,28,12487,151.08,0,Otsuka,S1A,5038256000128,5099627471596
ABILIFY 30MG TABS CLEAR PH,ARIPIPRAZOLE,28,17221,215.12,0,,,,
ABILIFY 30MG TABS LEXON,ARIPIPRAZOLE,28,17215,146.56,0,Lexon Uk,S1A,5037015041716,5099627101394
ABILIFY 30MG TABS PCO,ARIPIPRAZOLE,28,,146.55,0,Pco,S1A,,5099627708616
ABILIFY 5MG TABS,ARIPIPRAZOLE,28,11921,72.82,0,Otsuka,S1A,5012712003472,5099627198998
ABILIFY 5MG TABS,ARIPIPRAZOLE,28,11921,72.82,0,Otsuka,S1A,5038256000098,5099627198998
ABILIFY 5MG TABS B&S,ARIPIPRAZOLE,28,10302,126.43,0,,,,
ABILIFY 5MG TABS CLEAR PH,ARIPIPRAZOLE,28,17218,125.13,0,,,,
ABILIFY 5MG TABS IMED,ARIPIPRAZOLE,28,37016,70.64,0,Imed,S1A,5391522284661,5099627205887
ABILIFY 5MG TABS LEXON,ARIPIPRAZOLE,28,17212,70.64,0,Lexon Uk,S1A,5037015041501,5099627101103
ABILIFY 5MG TABS ORIGINALIS,ARIPIPRAZOLE,28,37044,22.88,0,Originalis,S1A,,5099627895088
ABILIFY 5MG TABS PCO,ARIPIPRAZOLE,28,11952,66.05,0,Pco,S1A,,5099627146289
ABILIFY 7.5MG/ML SOLN FOR INJ 1.3ML,ARIPIPRAZOLE,1,,6.75,23,Otsuka,S1A,5012712003854,5099627560245
ABILIFY 7.5MG/ML SOLN FOR INJ 1.3ML,ARIPIPRAZOLE,1,,6.75,23,Otsuka,S1A,7046260539235,5099627560245
ABILIFY MAINTENA 400MG PDR&SOLV PFS,ARIPIPRAZOLE,1,37007,332.34,23,Lundbeck,S1A,5038256001163,5099627558556
ABILIFY MAINTENA 400MG PDR&SOLV PFS,ARIPIPRAZOLE,1,37007,332.34,23,Lundbeck,S1A,5702150142429,5099627558556
ABILIFY MAINTENA 400MG PDR&SOLV SUSP/INJ,ARIPIPRAZOLE,1,13334,298.74,23,Lundbeck,S1A,5038256001217,5099627755016
ABILIFY MAINTENA 400MG PDR&SOLV SUSP/INJ,ARIPIPRAZOLE,1,13334,298.74,23,Lundbeck,S1A,5702157142200,5099627755016
ABIRATERONE ACCORD  500MG TABS,ABIRATERONE,56,89209,1325.92,0,Accord Hc,S1A,5055565780909,5099627320528
ABIRATERONE CLONMEL 500MG FC TABS,ABIRATERONE,56,89211,1325.92,0,Clonmel,S1A,5099562128104,5099627692946
ABIRATERONE KRKA 500MG FC TABS,ABIRATERONE,56,89212,1325.93,0,Krka Pharm,S1A,3838989746254,5099627112987
ABIRATERONE MYLAN 1000MG FC TABS,ABIRATERONE,28,89213,1325.92,0,Viatris,S1A,5099151928290,5099627688987
ABIRATERONE ROWA 500MG FC TABS,ABIRATERONE,56,,1.00,0,Rowa,S1A,5390387238017,5099627122269
ABLE SPACER ADULT/LARGE SILICONE MASK,,1,,9.45,23,Fleming,,5030818070075,5099627242943
ABLE SPACER CHILD/MEDIUM SILICONE MASK,,1,,8.81,23,Fleming,,,5099627242936
ABRAXANE 5MG/ML PDR FOR DISP/INF 100MG,PACLITAXEL,1,,130.88,23,Bms Pharm,S1A,7640133683133,5099627811880
ABRAXANE 5MG/ML PDR FOR DISP/INF 100MG,PACLITAXEL,1,,130.88,23,Bms Pharm,S1A,7640133684161,5099627811880
ABRIFORM EX LT GREEN 80 X 100CM DIAPER,,210,77732,9.09,23,Abena,,,5099627762915
ABRIFORM LARGE GREEN 80 X 100CM DIAPER,,170,77732,7.67,23,Abena,,,5099627762892
ABRIFORM LARGE LT GREEN 80 X 100CM DIAPE,,135,77732,9.08,23,Abena,,,5099627762908
ABRIFORM LGE EX PLUS 80 X 100CM DIAPE,,225,77732,7.89,23,Abena,,,5099627762922
ABRIFORM MED EX PLUS WHITE 71 X 83C DIAP,,200,77732,7.53,23,Abena,,,5099627762885
ABRIFORM MED EXTRA BLUE 69 X 87CM DIAPER,,175,77732,8.20,23,Abena,,,5099627762878
ABRIFORM MED LIGHT BLUE 69 X 87CM DIAPER,,114,77732,8.33,23,Abena,,,5099627762861
ABRIFORM MED NORM BLUE 69 X 87CM DIAPER,,137,77732,7.97,23,Abena,,,5099627762854
ABRIFORM SMALL WHITE 50 X 71CM DIAPER,,80,77730,8.20,23,Abena,,,5099627762809
ABRIFORM SMALL X PLUS WHITE 50X71 DIAPER,,130,77732,7.69,23,Abena,,,5099627762816
ABRIFORM X SMALL WHITE 44 X 59CM DIAPER,,80,77732,7.28,23,Abena,,,5099627762793
ABRILET EXTRA WHITE 15 X 57CM,,65,77732,8.01,23,Abena,,,5099627762977
ABRILET MAXI EXTRA PAD BLUE BLUE 16 X 60,,60,77732,6.09,23,Abena,,,5099627762953
ABRILET MIDI BLUE 16 X 46CM,,45,77732,6.45,23,Abena,,,5099627762946
ABRILET MINI STRESS PAD BLUE 10 X 33CM,,20,77732,3.09,23,Abena,,,5099627762939
ABRILET NORMAL WHITE 11 X 39CM,,24,77732,3.91,23,Abena,,,5099627762960
ABRINET WITH LEGS LARGE PANTS STRETCH,,100,,24.70,23,Abena,,,5099627990479
ABRINET WITH LEGS MEDIUM PANTS STRETCH,,100,,22.94,23,Abena,,,5099627990462
ABRINET WITH LEGS SMALL PANTS STRETCH,,100,,21.46,23,Abena,,,5099627990455
ABRINET WITH LEGS X LARGE PANTS STRETCH,,100,,26.85,23,Abena,,,5099627990486
ABRINET WITH LEGS X XLARGE PANTS STRETCH,,100,,29.89,23,Abena,,,5099627990493
ABRIPANTS LARGE PANTS STRETCH,,100,,3.58,23,Abena,,,5099627990592
ABRIPANTS MEDIUM PANTS STRETCH,,100,,3.43,23,Abena,,,5099627990585
ABRIPANTS SMALL PANTS STRETCH,,100,,3.28,23,Abena,,,5099627990578
ABRIPANTS X LARGE PANTS STRETCH,,100,,3.81,23,Abena,,,5099627990608
ABRIPANTS X XLARGE PANTS STRETCH,,100,,4.15,23,Abena,,,5099627990615
ABRISAN EXTRA BLUE 30 X 70CM ELAS DIAPER,,135,77732,5.27,23,Abena,,,5099627762755
ABRISAN EXTRA BLUE 36 X 70CM DIAPER,,135,77732,5.12,23,Abena,,,5099627762649
ABRISAN FORTE GREEN 30 X 70CM ELAS DIAP,,123,77732,6.03,23,Abena,,,5099627762748
ABRISAN FORTE GREEN 36 X 70CM DIAPER,,123,77732,5.62,23,Abena,,,5099627762632
ABRISAN MAXI GREEN 36 X 70CM DIAPER,,145,77732,5.35,23,Abena,,,5099627762656
ABRISAN MICRO WHITE 14 X 27CM DIAPER,,17,77732,3.05,23,Abena,,,5099627762571
ABRISAN MICRO WHITE 14 X 27CM ELAS DIAPE,,17,77732,3.33,23,Abena,,,5099627762670
ABRISAN MIDI WHITE 20 X 40CM ELAS DIAP,,55,77732,6.04,23,Abena,,,5099627762700
ABRISAN MIDI WHITE 28 X 54CM DIAPER,,55,77732,6.08,23,Abena,,,5099627762601
ABRISAN MINI STRESS PAD WHITE 16 X 30CM,,24,77732,5.69,23,Abena,,,5099627762588
ABRISAN MINI WHITE 16 X 30CM ELAS DIAPER,,24,77730,5.73,23,Abena,,,5099627762687
ABRISAN MONO WHITE 9 X 23CM ELAS DIAPER,,10,77732,1.47,23,Abena,,,5099627762663
ABRISAN NORMAL WHITE 20 X 40CM DIAPER,,39,77732,6.77,23,Abena,,,5099627762595
ABRISAN NORMAL WHITE 20 X 40CM ELAS DIAP,,39,77732,5.62,23,Abena,,,5099627762694
ABRISAN PLUS WHITE 30 X 63CM DIAPER,,63,77732,5.42,23,Abena,,,5099627762618
ABRISAN PLUS WHITE 30 X 63CM ELAS DIAP,,63,77732,6.06,23,Abena,,,5099627762717
ABRISAN REG BLUE 30 X 63CM ELAS DIAPER,,70,77732,5.31,23,Abena,,,5099627762724
ABRISAN SUPER YELLOW 36 X 63CM DIAPER,,88,77732,5.89,23,Abena,,,5099627762625
ABRISAN SUPER YELLOW 36 X 63CM ELAS DIAP,,88,77732,6.34,23,Abena,,,5099627762731
ABRISOFT BLUE 40 X 60CM,,45,77732,8.10,23,Abena,,,5099627762984
ABRISOFT BLUE 60 X 60CM,,65,77732,5.71,23,Abena,,,5099627762991
ABRISOFT BLUE 60 X 90CM,,100,77732,9.07,23,Abena,,,5099627763004
ABSORBA 9900 GEL SACHETS,,150,93345,55.36,0,Alliance,,5036631000459,5099627648585
ABSORBA 9900 GEL SACHETS,,150,93345,55.36,0,Alliance,,5060100790107,5099627648585
ABSORBENT LINT 15GM BPC,,1,,1.45,23,Fleming,,5060131883540,5099627243094
ABSORBIAN FOR UROSTOMY BAG UFAS03 WAND,,60,93010,22.04,0,Bullenhc,,,5099627318815
ABSORBIAN PL SACHET FOR DRAIN BAG UFAS02,,30,93005,11.02,0,Bullenhc,,,5099627318792
ABSORBIAN SACHET FOR CLOSED BAG UFAS01,,30,93001,11.02,0,Bullenhc,,,5099627318785
ABSORBINE JR 1.27% PAIN REL LIQ ULM POA,MENTHOL,118,,0.00,23,Unlicensed Medicines,S1A,,2200002791410
ABSTRAL 100MCG SUBLINGUAL TABS,FENTANYL,10,10880,67.39,0,Kyowa Kir,CD2,5038903000471,5099627780995
ABSTRAL 100MCG SUBLINGUAL TABS,FENTANYL,30,,206.62,0,Kyowa Kir,CD2,5038903000419,5099627781091
ABSTRAL 200MCG SUBLINGUAL TABS,FENTANYL,10,10882,64.03,0,Kyowa Kir,CD2,5038903000488,5099627781107
ABSTRAL 200MCG SUBLINGUAL TABS,FENTANYL,30,,206.62,0,Kyowa Kir,CD2,5038903000426,5099627781114
ABSTRAL 300MCG SUBLINGUAL TABS,FENTANYL,10,10884,59.88,0,Kyowa Kir,CD2,5038903000495,5099627781138
ABSTRAL 300MCG SUBLINGUAL TABS,FENTANYL,30,,195.88,0,Kyowa Kir,CD2,5038903000433,5099627781152
